Zip,Country,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source,"Statcan Census Division id","Statcan Census Division Name","Statcan Census Division Type","Statcan Census Division Type Description","Statcan Census Consolidated Subdivision id","Statcan Census Consolidated Subdivision Name","Statcan Census Subdivision id","Statcan Census Subdivision Name","Statcan Census Subdivision Type","Statcan Census Subdivision Type Description","Statcan Census Economic Region","Statcan Census Statistical Area Code","Statcan Census Statistical Area Code Description","Statcan Census Statistical Area Type","Statcan Census Statistical Area Type Description","Statcan Census CMA/CA id","Statcan Census CMA/CA Name","Statcan Census CMA/CA Type","Statcan Census CMA/CA Type Description","Statcan Census Tract","Statcan Census Year"
"H2E 1R9",Canada,45.5514,-73.6116,0.7,place,,,Villeray,QC,,H2E,CA,"CanVec+ by Natural Resources Canada",2466,Montréal,TÉ,"Territoire équivalent",2466023,Montréal,2466023,Montréal,V,Ville,Montréal,462,"CMA or CA",1,"Census subdivision within census metropolitan area",462,Montréal,B,"Census metropolitan area (CMA)",4620242.00,2016
"M4C 2V2",Canada,43.6913,-79.3116,0.7,place,,,York,ON,,M4C,CA,"CanVec+ by Natural Resources Canada",3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350181.01,2016
L5C1Y5,Canada,43.5624,-79.6504,0.7,place,,,Mississauga,ON,,L5C,CA,"CanVec+ by Natural Resources Canada",3521,Peel,RM,"Regional municipality",3521010,Brampton,3521005,Mississauga,CY,City,Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350518.00,2016
"M4M 2A1",Canada,43.6561,-79.3406,0.7,place,,,Toronto,ON,,M4M,CA,"CanVec+ by Natural Resources Canada",3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350001.00,2016
"N5Y 5R6",Canada,43.0123,-81.2307,0.7,place,,,London,ON,,N5Y,CA,"CanVec+ by Natural Resources Canada",3539,Middlesex,CTY,County,3539036,London,3539036,London,CY,City,London,555,"CMA or CA",1,"Census subdivision within census metropolitan area",555,London,B,"Census metropolitan area (CMA)",5550041.00,2016
"J3H 0K4",Canada,45.562351,-73.191886,0.8,place,,,Mont-Saint-Hilaire,QC,,J3H,CA,"CanVec+ by Natural Resources Canada",2457,"La Vallée-du-Richelieu",MRC,"Municipalité régionale de comté",2457033,Saint-Jean-Baptiste,2457035,Mont-Saint-Hilaire,V,Ville,Montérégie,462,"CMA or CA",1,"Census subdivision within census metropolitan area",462,Montréal,B,"Census metropolitan area (CMA)",4620930.02,2016
"H8S 4C4",Canada,45.4402,-73.6747,0.7,place,,,Lachine,QC,,H8S,CA,"CanVec+ by Natural Resources Canada",2466,Montréal,TÉ,"Territoire équivalent",2466023,Montréal,2466023,Montréal,V,Ville,Montréal,462,"CMA or CA",1,"Census subdivision within census metropolitan area",462,Montréal,B,"Census metropolitan area (CMA)",4620393.00,2016
M1W2K1,Canada,43.8016,-79.3216,0.7,place,,,Scarborough,ON,,M1W,CA,"CanVec+ by Natural Resources Canada",3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350376.12,2016
L7L1V3,Canada,43.3799,-79.7668,0.7,place,,,Burlington,ON,,L7L,CA,"CanVec+ by Natural Resources Canada",3524,Halton,RM,"Regional municipality",3524002,Burlington,3524002,Burlington,CY,City,"Hamilton--Niagara Peninsula",537,"CMA or CA",1,"Census subdivision within census metropolitan area",537,Hamilton,B,"Census metropolitan area (CMA)",5370222.01,2016
"H2K 3S9",Canada,45.5307,-73.5547,0.7,place,,,Centre-Sud,QC,,H2K,CA,"CanVec+ by Natural Resources Canada",2466,Montréal,TÉ,"Territoire équivalent",2466023,Montréal,2466023,Montréal,V,Ville,Montréal,462,"CMA or CA",1,"Census subdivision within census metropolitan area",462,Montréal,B,"Census metropolitan area (CMA)",4620037.00,2016
"J1X 3Y6",Canada,45.265463,-72.147903,0.8,place,,,Magog,QC,,J1X,CA,"CanVec+ by Natural Resources Canada",2445,Memphrémagog,MRC,"Municipalité régionale de comté",2445072,Magog,2445072,Magog,V,Ville,Estrie,433,"CMA or CA",1,"Census subdivision within census metropolitan area",433,Sherbrooke,B,"Census metropolitan area (CMA)",4330400.03,2016
"N4S 2C8",Canada,43.133061,-80.749855,0.27,place,,,Woodstock,ON,,N4S,CA,"CanVec+ by Natural Resources Canada",3532,Oxford,CTY,County,3532045,Blandford-Blenheim,3532042,Woodstock,CY,City,London,544,"CMA or CA",3,"Census subdivision within census agglomeration having no census tracts",544,Woodstock,D,"Census agglomeration (CA) that is not tracted",,2016
"G5A 1T3",Canada,47.657525,-70.153885,0.8,place,,,"La Malbaie",QC,,G5A,CA,"CanVec+ by Natural Resources Canada",2415,Charlevoix-Est,MRC,"Municipalité régionale de comté",2415013,"La Malbaie",2415013,"La Malbaie",V,Ville,Capitale-Nationale,998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"V0K 2E0",Canada,51.09167,-121.586524,0.8,place,,,Clinton,BC,,V0K,CA,"CanVec+ by Natural Resources Canada",5933,Thompson-Nicola,RD,"Regional district",5933032,"Thompson-Nicola E (Bonaparte Plateau)",5933028,Clinton,VL,Village,Thompson--Okanagan,998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"L0M 1S0",Canada,44.327104,-80.108415,0.8,place,,,Creemore,ON,,L0M,CA,"CanVec+ by Natural Resources Canada",3543,Simcoe,CTY,County,3543005,Clearview,3543005,Clearview,TP,Township,Kitchener--Waterloo--Barrie,996,Strong,4,"Census subdivision outside of census metropolitan area/census agglomeration area having strong metropolitan influence",,,,,,2016
"G1H 1H1",Canada,46.854893,-71.258004,0.8,place,,,Petite-Auvergne,QC,,G1H,CA,"CanVec+ by Natural Resources Canada",2423,Québec,TÉ,"Territoire équivalent",2423027,Québec,2423027,Québec,V,Ville,Capitale-Nationale,421,"CMA or CA",1,"Census subdivision within census metropolitan area",421,Québec,B,"Census metropolitan area (CMA)",4210273.03,2016
"L3R 8G5",Canada,43.8479,-79.3288,0.7,place,,,Markham,ON,,L3R,CA,"CanVec+ by Natural Resources Canada",3519,York,RM,"Regional municipality",3519036,Markham,3519036,Markham,CY,City,Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350401.18,2016
"N0B 1M0",Canada,43.285512,-80.450701,0.8,place,,,Ayr,ON,,N0B,CA,"CanVec+ by Natural Resources Canada",3530,Waterloo,RM,"Regional municipality",3530004,"North Dumfries",3530004,"North Dumfries",TP,Township,Kitchener--Waterloo--Barrie,541,"CMA or CA",1,"Census subdivision within census metropolitan area",541,"Kitchener - Cambridge - Waterloo",B,"Census metropolitan area (CMA)",5410140.02,2016
M1L0H2,Canada,43.7122,-79.2843,0.7,place,,,Scarborough,ON,,M1L,CA,"CanVec+ by Natural Resources Canada",3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350348.00,2016
"N9J 2J1",Canada,42.2187,-83.0801,0.7,place,,,"La Salle",ON,,N9J,CA,"CanVec+ by Natural Resources Canada",3537,Essex,CTY,County,3537034,LaSalle,3537034,LaSalle,T,Town,Windsor--Sarnia,559,"CMA or CA",1,"Census subdivision within census metropolitan area",559,Windsor,B,"Census metropolitan area (CMA)",5590102.00,2016
L7G3Z5,Canada,43.650265,-79.903606,0.8,place,,,Georgetown,ON,,L7G,CA,"CanVec+ by Natural Resources Canada",3524,Halton,RM,"Regional municipality",3524015,"Halton Hills",3524015,"Halton Hills",T,Town,Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350632.00,2016
"L3P 3K8",Canada,43.944737,-79.277112,0.8,place,,,"Dickson Hill",ON,,L3P,CA,"CanVec+ by Natural Resources Canada",3519,York,RM,"Regional municipality",3519036,Markham,3519036,Markham,CY,City,Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350403.16,2016
"J7E 1N7",Canada,45.634292,-73.836238,0.8,place,,,Sainte-Thérèse,QC,,J7E,CA,"CanVec+ by Natural Resources Canada",2473,"Thérèse-De Blainville",MRC,"Municipalité régionale de comté",2473015,Blainville,2473010,Sainte-Thérèse,V,Ville,Laurentides,462,"CMA or CA",1,"Census subdivision within census metropolitan area",462,Montréal,B,"Census metropolitan area (CMA)",4620706.00,2016
L5V1N6,Canada,43.5972,-79.6931,0.7,place,,,Mississauga,ON,,L5V,CA,"CanVec+ by Natural Resources Canada",3521,Peel,RM,"Regional municipality",3521010,Brampton,3521005,Mississauga,CY,City,Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350528.47,2016
L4L1J3,Canada,43.8064,-79.5995,0.7,place,,,Woodbridge,ON,,L4L,CA,"CanVec+ by Natural Resources Canada",3519,York,RM,"Regional municipality",3519028,Vaughan,3519028,Vaughan,CY,City,Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350412.15,2016
"V1X 3B6",Canada,49.937824,-119.359587,0.8,place,,,Ellison,BC,,V1X,CA,"CanVec+ by Natural Resources Canada",5935,"Central Okanagan",RD,"Regional district",5935012,"Central Okanagan",5935012,"Central Okanagan",RDA,"Regional district electoral area",Thompson--Okanagan,915,"CMA or CA",1,"Census subdivision within census metropolitan area",915,Kelowna,B,"Census metropolitan area (CMA)",9150105.02,2016
L5V2B9,Canada,43.5972,-79.6931,0.7,place,,,Mississauga,ON,,L5V,CA,"CanVec+ by Natural Resources Canada",3521,Peel,RM,"Regional municipality",3521010,Brampton,3521005,Mississauga,CY,City,Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350528.47,2016
"V3H 2M5",Canada,49.282224,-122.829342,0.8,place,,,"Port Moody",BC,,V3H,CA,"CanVec+ by Natural Resources Canada",5915,"Greater Vancouver",RD,"Regional district",5915020,"Greater Vancouver A",5915043,"Port Moody",CY,City,"Lower Mainland--Southwest / Lower Mainland--Sud-ouest",933,"CMA or CA",1,"Census subdivision within census metropolitan area",933,Vancouver,B,"Census metropolitan area (CMA)",9330260.07,2016
P7A2J6,Canada,48.503633,-89.071574,0.8,place,,,Shuniah,ON,,P7A,CA,"CanVec+ by Natural Resources Canada",3558,"Thunder Bay",DIS,District,3558090,"Thunder Bay, Unorganized",3558028,Shuniah,MU,Municipality,"Northwest / Nord-ouest",595,"CMA or CA",1,"Census subdivision within census metropolitan area",595,"Thunder Bay",B,"Census metropolitan area (CMA)",5950101.00,2016
"N6B 1W5",Canada,42.9835,-81.2386,0.7,place,,,London,ON,,N6B,CA,"CanVec+ by Natural Resources Canada",3539,Middlesex,CTY,County,3539036,London,3539036,London,CY,City,London,555,"CMA or CA",1,"Census subdivision within census metropolitan area",555,London,B,"Census metropolitan area (CMA)",5550033.00,2016
"M1C 2C6",Canada,43.7878,-79.1564,0.7,place,,,Scarborough,ON,,M1C,CA,"CanVec+ by Natural Resources Canada",3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350361.01,2016
"G8Z 3R8",Canada,46.3458,-72.5716,0.7,place,,,Trois-Rivières,QC,,G8Z,CA,"CanVec+ by Natural Resources Canada",2437,Francheville,CDR,"Census division / Division de recensement CT County / Comté",2437067,Trois-Rivières,2437067,Trois-Rivières,V,Ville,Mauricie,442,"CMA or CA",1,"Census subdivision within census metropolitan area",442,Trois-Rivières,B,"Census metropolitan area (CMA)",4420008.00,2016
T4A1X9,Canada,51.2799,-113.988,0.7,place,,,Airdrie,AB,,T4A,CA,"CanVec+ by Natural Resources Canada",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806014,"Rocky View County",4806021,Airdrie,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250207.01,2016
"T9H 4V6",Canada,56.7292,-111.388522,0.8,place,,,"Fort Mcmurray",AB,,T9H,CA,"CanVec+ by Natural Resources Canada",4816,"Division No. 16",CDR,"Census division / Division de recensement CT County / Comté",4816037,"Wood Buffalo",4816037,"Wood Buffalo",SM,"Specialized municipality","Wood Buffalo--Cold Lake",860,"CMA or CA",2,"Census subdivision within census agglomeration with at least one census tract",860,"Wood Buffalo",K,"Census agglomeration (CA) that is tracted",8600004.00,2016
K2C3M5,Canada,45.3679,-75.7381,0.7,place,,,Ottawa,ON,,K2C,CA,"CanVec+ by Natural Resources Canada",3506,Ottawa,CDR,"Census division / Division de recensement CT County / Comté",3506008,Ottawa,3506008,Ottawa,CV,"City / Ville",Ottawa,505,"CMA or CA",1,"Census subdivision within census metropolitan area",505,"Ottawa - Gatineau (Ontario part / partie de l'Ontario)",B,"Census metropolitan area (CMA)",5050023.02,2016
"N7S 6L4",Canada,42.9888,-82.3592,0.23,place,,,Sarnia,ON,,N7S,CA,"CanVec+ by Natural Resources Canada",3538,Lambton,CTY,County,3538030,Sarnia,3538030,Sarnia,CY,City,Windsor--Sarnia,562,"CMA or CA",2,"Census subdivision within census agglomeration with at least one census tract",562,Sarnia,K,"Census agglomeration (CA) that is tracted",5620102.01,2016
"L6J 2L1",Canada,43.447436,-79.666672,0.8,place,,,Oakville,ON,,L6J,CA,"CanVec+ by Natural Resources Canada",3524,Halton,RM,"Regional municipality",3524001,Oakville,3524001,Oakville,T,Town,Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350604.00,2016
" V8Z 6E9",Canada,48.4993,-123.4003,0.7,place,,,Saanich,BC,,V8Z,CA,"CanVec+ by Natural Resources Canada",5917,Capital,RD,"Regional district",5917021,Saanich,5917021,Saanich,DM,"District municipality","Vancouver Island and Coast / Île de Vancouver et la côte",935,"CMA or CA",1,"Census subdivision within census metropolitan area",935,Victoria,B,"Census metropolitan area (CMA)",9350133.00,2016
N6C1T4,Canada,42.9582,-81.238,0.7,place,,,London,ON,,N6C,CA,"CanVec+ by Natural Resources Canada",3539,Middlesex,CTY,County,3539036,London,3539036,London,CY,City,London,555,"CMA or CA",1,"Census subdivision within census metropolitan area",555,London,B,"Census metropolitan area (CMA)",5550012.00,2016
L4G1J5,Canada,43.99973,-79.467545,0.8,place,,,Aurora,ON,,L4G,CA,"CanVec+ by Natural Resources Canada",3519,York,RM,"Regional municipality",3519048,Newmarket,3519046,Aurora,T,Town,Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350440.00,2016
"V3V 5W4",Canada,49.1889,-122.873,0.7,place,,,Surrey,BC,,V3V,CA,"CanVec+ by Natural Resources Canada",5915,"Greater Vancouver",RD,"Regional district",5915004,Surrey,5915004,Surrey,CY,City,"Lower Mainland--Southwest / Lower Mainland--Sud-ouest",933,"CMA or CA",1,"Census subdivision within census metropolitan area",933,Vancouver,B,"Census metropolitan area (CMA)",9330186.02,2016
"V4N 2R8",Canada,49.1707,-122.7326,0.7,place,,,Surrey,BC,,V4N,CA,"CanVec+ by Natural Resources Canada",5915,"Greater Vancouver",RD,"Regional district",5915004,Surrey,5915004,Surrey,CY,City,"Lower Mainland--Southwest / Lower Mainland--Sud-ouest",933,"CMA or CA",1,"Census subdivision within census metropolitan area",933,Vancouver,B,"Census metropolitan area (CMA)",9330188.06,2016
P0P1G0,Canada,45.981024,-81.926606,0.8,place,,,"Northeastern Manitoulin And The Islands",ON,,P0P,CA,"CanVec+ by Natural Resources Canada",3551,Manitoulin,DIS,District,3551017,"Northeastern Manitoulin and the Islands",3551017,"Northeastern Manitoulin and the Islands",MU,Municipality,"Northeast / Nord-est",998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"G4W 1L1",Canada,48.846863,-67.529598,0.8,place,,,Matane,QC,,G4W,CA,"CanVec+ by Natural Resources Canada",2408,Matane,MRC,"Municipalité régionale de comté",2408053,Matane,2408053,Matane,V,Ville,Bas-Saint-Laurent,403,"CMA or CA",3,"Census subdivision within census agglomeration having no census tracts",403,Matane,D,"Census agglomeration (CA) that is not tracted",,2016
"T2V 2Y2",Canada,50.9819,-114.1004,0.7,place,,,Calgary,AB,,T2V,CA,"CanVec+ by Natural Resources Canada",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250014.00,2016
"J1H 1L6",Canada,45.403271,-71.889038,0.8,place,,,Sherbrooke,QC,,J1H,CA,"CanVec+ by Natural Resources Canada",2443,Sherbrooke,TÉ,"Territoire équivalent",2443027,Sherbrooke,2443027,Sherbrooke,V,Ville,Estrie,433,"CMA or CA",1,"Census subdivision within census metropolitan area",433,Sherbrooke,B,"Census metropolitan area (CMA)",4330012.00,2016
"N6A 3C2",Canada,42.988576,-81.246643,0.8,place,,,London,ON,,N6A,CA,"CanVec+ by Natural Resources Canada",3539,Middlesex,CTY,County,3539036,London,3539036,London,CY,City,London,555,"CMA or CA",1,"Census subdivision within census metropolitan area",555,London,B,"Census metropolitan area (CMA)",5550022.00,2016
"L0E 1R0",Canada,44.313046,-79.203942,0.8,place,,,Pefferlaw,ON,,L0E,CA,"CanVec+ by Natural Resources Canada",3519,York,RM,"Regional municipality",3519070,Georgina,3519070,Georgina,T,Town,Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350470.00,2016
P3Y1M4,Canada,46.4431,-81.127,0.7,place,,,"Greater Sudbury",ON,,P3Y,CA,"CanVec+ by Natural Resources Canada",3553,"Greater Sudbury / Grand Sudbury",CDR,"Census division / Division de recensement CT County / Comté",3553005,"Greater Sudbury / Grand Sudbury",3553005,"Greater Sudbury / Grand Sudbury",CV,"City / Ville","Northeast / Nord-est",580,"CMA or CA",1,"Census subdivision within census metropolitan area",580,"Greater Sudbury / Grand Sudbury",B,"Census metropolitan area (CMA)",5800131.00,2016
"H1N 1A2",Canada,45.583513,-73.499437,0.8,place,,,"Tno Aquatique Du Te De Montréal",QC,,H1N,CA,"CanVec+ by Natural Resources Canada",2466,Montréal,TÉ,"Territoire équivalent",2466023,Montréal,2466023,Montréal,V,Ville,Montréal,462,"CMA or CA",1,"Census subdivision within census metropolitan area",462,Montréal,B,"Census metropolitan area (CMA)",4620009.00,2016
L2S1P4,Canada,43.1447,-79.2634,0.7,place,,,"St. Catharines",ON,,L2S,CA,"CanVec+ by Natural Resources Canada",3526,Niagara,RM,"Regional municipality",3526053,"St. Catharines",3526053,"St. Catharines",CY,City,"Hamilton--Niagara Peninsula",539,"CMA or CA",1,"Census subdivision within census metropolitan area",539,"St. Catharines - Niagara",B,"Census metropolitan area (CMA)",5390004.02,2016
G5L7A7,Canada,48.450155,-68.529968,0.8,place,,,Rimouski,QC,,G5L,CA,"CanVec+ by Natural Resources Canada",2410,Rimouski-Neigette,MRC,"Municipalité régionale de comté",2410043,Rimouski,2410043,Rimouski,V,Ville,Bas-Saint-Laurent,404,"CMA or CA",3,"Census subdivision within census agglomeration having no census tracts",404,Rimouski,D,"Census agglomeration (CA) that is not tracted",,2016
"N8X 2R7",Canada,42.30423,-83.029861,0.8,place,,,Windsor,ON,,N8X,CA,"CanVec+ by Natural Resources Canada",3537,Essex,CTY,County,3537039,Windsor,3537039,Windsor,CY,City,Windsor--Sarnia,559,"CMA or CA",1,"Census subdivision within census metropolitan area",559,Windsor,B,"Census metropolitan area (CMA)",5590026.00,2016
"N8H 3V8",Canada,42.051842,-82.599335,0.8,place,,,Leamington,ON,,N8H,CA,"CanVec+ by Natural Resources Canada",3537,Essex,CTY,County,3537003,Leamington,3537003,Leamington,MU,Municipality,Windsor--Sarnia,557,"CMA or CA",3,"Census subdivision within census agglomeration having no census tracts",557,Leamington,D,"Census agglomeration (CA) that is not tracted",,2016
"L1R 2K5",Canada,43.899871,-78.940201,0.8,place,,,Whitby,ON,,L1R,CA,"CanVec+ by Natural Resources Canada",3518,Durham,RM,"Regional municipality",3518009,Whitby,3518009,Whitby,T,Town,Toronto,532,"CMA or CA",1,"Census subdivision within census metropolitan area",532,Oshawa,B,"Census metropolitan area (CMA)",5320105.06,2016
V1L6X2,Canada,49.617047,-116.961382,0.8,place,,,Procter,BC,,V1L,CA,"CanVec+ by Natural Resources Canada",5903,"Central Kootenay",RD,"Regional district",5903041,"Central Kootenay E",5903041,"Central Kootenay E",RDA,"Regional district electoral area",Kootenay,907,"CMA or CA",3,"Census subdivision within census agglomeration having no census tracts",907,Nelson,D,"Census agglomeration (CA) that is not tracted",,2016
"M1T 2M5",Canada,43.7812,-79.3036,0.7,place,,,Scarborough,ON,,M1T,CA,"CanVec+ by Natural Resources Canada",3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350375.03,2016
"H1G 2J6",Canada,45.6109,-73.6211,0.7,place,,,Montreal,QC,,H1G,CA,"CanVec+ by Natural Resources Canada",2466,Montréal,TÉ,"Territoire équivalent",2466023,Montréal,2466023,Montréal,V,Ville,Montréal,462,"CMA or CA",1,"Census subdivision within census metropolitan area",462,Montréal,B,"Census metropolitan area (CMA)",4620610.02,2016
"M1B 2L2",Canada,43.8113,-79.193,0.7,place,,,Scarborough,ON,,M1B,CA,"CanVec+ by Natural Resources Canada",3520,Toronto,CDR,"Census division / Division de recensement CT County / Comté",3520005,Toronto,3520005,Toronto,C,"City / Cité",Toronto,535,"CMA or CA",1,"Census subdivision within census metropolitan area",535,Toronto,B,"Census metropolitan area (CMA)",5350378.28,2016
"V4A 4M6",Canada,49.0374,-122.8299,0.7,place,,,Surrey,BC,,V4A,CA,"CanVec+ by Natural Resources Canada",5915,"Greater Vancouver",RD,"Regional district",5915004,Surrey,5915004,Surrey,CY,City,"Lower Mainland--Southwest / Lower Mainland--Sud-ouest",933,"CMA or CA",1,"Census subdivision within census metropolitan area",933,Vancouver,B,"Census metropolitan area (CMA)",9330181.10,2016
